역명,일자, 이용인원 , 승차인원 , 하차인원 
인천대공원,2023-06-12,6164,3122,3042
운연(서창),2023-06-12,2690,1446,1244
검단오류(검단산업단지),2023-06-13,6035,2972,3063
왕길,2023-06-13,5386,2684,2702
검단사거리,2023-06-13,17404,9192,8212
마전,2023-06-13,9238,4490,4748
완정,2023-06-13,15799,8196,7603
독정,2023-06-13,8087,4051,4036
검암,2023-06-13,5987,3221,2766
검바위,2023-06-13,7686,3688,3998
아시아드경기장(공촌사거리),2023-06-13,9761,5276,4485
서구청,2023-06-13,17905,8790,9115
가정(루원시티),2023-06-13,23936,12267,11669
가정중앙시장,2023-06-13,11697,5565,6132
석남(거북시장),2023-06-13,6446,3163,3283
서부여성회관,2023-06-13,8315,4248,4067
인천가좌,2023-06-13,8747,4427,4320
가재울,2023-06-13,7608,3922,3686
주안국가산단,2023-06-13,5670,2792,2878
주안,2023-06-13,16710,7238,9472
시민공원(문화창작지대),2023-06-13,19155,9958,9197
석바위시장,2023-06-13,9010,4334,4676
인천시청,2023-06-13,6796,3190,3606
석천사거리,2023-06-13,9803,5084,4719
모래내시장,2023-06-13,16291,7913,8378
만수,2023-06-13,10548,5512,5036
남동구청,2023-06-13,9265,4755,4510
인천대공원,2023-06-13,7014,3486,3528
운연(서창),2023-06-13,2838,1555,1283
검단오류(검단산업단지),2023-06-14,6094,3048,3046
왕길,2023-06-14,5442,2731,2711
검단사거리,2023-06-14,17103,8986,8117
마전,2023-06-14,9047,4444,4603
완정,2023-06-14,15588,8036,7552
독정,2023-06-14,8144,4061,4083
검암,2023-06-14,6024,3203,2821
검바위,2023-06-14,7674,3771,3903
아시아드경기장(공촌사거리),2023-06-14,9977,5314,4663
서구청,2023-06-14,17628,8686,8942
가정(루원시티),2023-06-14,23998,12224,11774
가정중앙시장,2023-06-14,11790,5692,6098
석남(거북시장),2023-06-14,6661,3214,3447
서부여성회관,2023-06-14,8478,4358,4120
인천가좌,2023-06-14,8667,4402,4265
가재울,2023-06-14,7629,3897,3732
주안국가산단,2023-06-14,5760,2797,2963
주안,2023-06-14,16697,7181,9516
시민공원(문화창작지대),2023-06-14,19357,9933,9424
석바위시장,2023-06-14,9089,4398,4691
인천시청,2023-06-14,6992,3288,3704
석천사거리,2023-06-14,9687,4987,4700
모래내시장,2023-06-14,16160,7880,8280
만수,2023-06-14,10642,5512,5130
남동구청,2023-06-14,9128,4738,4390
인천대공원,2023-06-14,6095,3065,3030
운연(서창),2023-06-14,2783,1490,1293
검단오류(검단산업단지),2023-06-15,5977,2953,3024
왕길,2023-06-15,5355,2701,2654
검단사거리,2023-06-15,16808,8787,8021
마전,2023-06-15,9084,4452,4632
완정,2023-06-15,15794,8071,7723
독정,2023-06-15,8186,4128,4058
검암,2023-06-15,6068,3259,2809
검바위,2023-06-15,7919,3838,4081
아시아드경기장(공촌사거리),2023-06-15,9657,5141,4516
서구청,2023-06-15,17567,8631,8936
가정(루원시티),2023-06-15,23974,12362,11612
가정중앙시장,2023-06-15,11619,5580,6039
석남(거북시장),2023-06-15,6347,3040,3307
서부여성회관,2023-06-15,8439,4301,4138
인천가좌,2023-06-15,8644,4405,4239
가재울,2023-06-15,7363,3739,3624
주안국가산단,2023-06-15,5658,2748,2910
주안,2023-06-15,16323,7088,9235
시민공원(문화창작지대),2023-06-15,18834,9673,9161
석바위시장,2023-06-15,8877,4306,4571
인천시청,2023-06-15,6804,3251,3553
석천사거리,2023-06-15,9436,4864,4572
모래내시장,2023-06-15,16287,7871,8416
만수,2023-06-15,10417,5447,4970
남동구청,2023-06-15,9135,4782,4353
인천대공원,2023-06-15,6132,3080,3052
운연(서창),2023-06-15,2894,1583,1311
검단오류(검단산업단지),2023-06-16,6021,2961,3060
왕길,2023-06-16,5576,2826,2750
검단사거리,2023-06-16,18245,9575,8670
마전,2023-06-16,9125,4487,4638
완정,2023-06-16,15961,8297,7664
독정,2023-06-16,8430,4250,4180
