"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250101","경강선","성남","457","416","20250104",""
"20250101","경부선","서울역","8859","2066","20250104",""
"20250101","경부선","남영","3681","3993","20250104",""
"20250101","경부선","용산","32782","29060","20250104",""
"20250101","경부선","노량진","5670","5862","20250104",""
"20250101","경부선","대방","3560","4175","20250104",""
"20250101","경부선","영등포","26331","25787","20250104",""
"20250101","경부선","신도림","1704","1842","20250104",""
"20250101","경부선","신길","3729","3510","20250104",""
"20250101","경부선","구로","7832","8165","20250104",""
"20250101","경부선","가산디지털단지","4622","5592","20250104",""
"20250101","경부선","금천구청","4604","4805","20250104",""
"20250101","경부선","석수","3396","3407","20250104",""
"20250101","경부선","관악","3387","3245","20250104",""
"20250101","경부선","안양","10556","10562","20250104",""
"20250101","경부선","명학","2443","2475","20250104",""
"20250101","경부선","금정","11619","12175","20250104",""
"20250101","경부선","군포","2433","2414","20250104",""
"20250101","경부선","의왕","3488","3560","20250104",""
"20250101","경부선","성균관대","7310","7437","20250104",""
"20250101","경부선","화서","8853","8594","20250104",""
"20250101","경부선","수원","30915","29041","20250104",""
"20250101","경부선","독산","5129","5284","20250104",""
"20250101","경부선","세류","1814","1921","20250104",""
"20250101","경부선","병점","8109","9182","20250104",""
"20250101","경부선","세마","1756","1772","20250104",""
"20250101","경부선","오산대","1895","1956","20250104",""
"20250101","경부선","오산","6677","7272","20250104",""
"20250101","경부선","진위","830","857","20250104",""
"20250101","경부선","송탄","2987","3594","20250104",""
"20250101","경부선","서정리","4396","6431","20250104",""
"20250101","경부선","평택지제","2757","2728","20250104",""
"20250101","경부선","평택","10116","10271","20250104",""
"20250101","경부선","성환","2331","2712","20250104",""
"20250101","경부선","직산","538","595","20250104",""
"20250101","경부선","두정","4387","4631","20250104",""
"20250101","경부선","천안","5345","5185","20250104",""
"20250101","경부선","당정","2458","2395","20250104",""
"20250101","경부선","서동탄","670","641","20250104",""
"20250101","경부선","광명","2428","1561","20250104",""
"20250101","경원선","이촌(국립중앙박물관)","1528","1377","20250104",""
"20250101","경원선","서빙고","1001","955","20250104",""
"20250101","경원선","한남","1444","1437","20250104",""
"20250101","경원선","옥수","72","23","20250104",""
"20250101","경원선","응봉","1234","1136","20250104",""
"20250101","경원선","왕십리(성동구청)","9058","9528","20250104",""
"20250101","경원선","청량리(서울시립대입구)","10609","9870","20250104",""
"20250101","경원선","외대앞","4015","4092","20250104",""
"20250101","경원선","신이문","3878","3760","20250104",""
"20250101","경원선","석계","3601","4112","20250104",""
"20250101","경원선","광운대","3688","3832","20250104",""
"20250101","경원선","월계","3020","2912","20250104",""
"20250101","경원선","녹천","1853","1715","20250104",""
"20250101","수인선","숭의","1993","1770","20250104",""
"20250101","수인선","신포","1099","1076","20250104",""
"20250101","수인선","인천","1093","1586","20250104",""
"20250101","신림선","샛강","784","886","20250104",""
"20250101","신림선","대방","1343","1145","20250104",""
"20250101","신림선","서울지방병무청","1217","1522","20250104",""
"20250101","신림선","보라매","1753","1644","20250104",""
"20250101","신림선","보라매공원","927","959","20250104",""
"20250101","신림선","보라매병원","1935","1885","20250104",""
"20250101","신림선","당곡","2183","2169","20250104",""
"20250101","신림선","신림","1232","1472","20250104",""
"20250101","신림선","서원","1861","1771","20250104",""
"20250101","신림선","서울대벤처타운","5054","5115","20250104",""
"20250101","신림선","관악산(서울대)","2623","2702","20250104",""
"20250101","안산선","산본","7812","8296","20250104",""
"20250101","안산선","대야미","2530","2286","20250104",""
"20250101","안산선","반월","2135","2190","20250104",""
"20250101","안산선","상록수","7385","7502","20250104",""
"20250101","안산선","한대앞","4322","4509","20250104",""
"20250101","안산선","중앙","10245","10044","20250104",""
"20250101","안산선","고잔","3351","3337","20250104",""
"20250101","안산선","초지","2177","2181","20250104",""
"20250101","안산선","안산","8469","8007","20250104",""
"20250101","안산선","신길온천","1187","1135","20250104",""
"20250101","안산선","정왕","5220","5429","20250104",""
"20250101","안산선","오이도","5070","4862","20250104",""
"20250101","안산선","수리산","1763","1647","20250104",""
"20250101","우이신설선","북한산우이","3564","3436","20250104",""
"20250101","우이신설선","솔밭공원","1245","1252","20250104",""
"20250101","우이신설선","4.19민주묘지","1678","1542","20250104",""
"20250101","우이신설선","가오리","2096","2010","20250104",""
"20250101","우이신설선","화계","1907","1791","20250104",""
"20250101","우이신설선","삼양","1195","1251","20250104",""
"20250101","우이신설선","삼양사거리","1383","1360","20250104",""
"20250101","우이신설선","솔샘","2460","2430","20250104",""
"20250101","우이신설선","북한산보국문","3085","2963","20250104",""
"20250101","우이신설선","정릉","2249","1984","20250104",""
"20250101","우이신설선","성신여대입구(돈암)","1916","2289","20250104",""
"20250101","우이신설선","보문","873","857","20250104",""
"20250101","우이신설선","신설동","1158","1064","20250104",""
"20250101","일산선","원흥","4649","4706","20250104",""
"20250101","일산선","지축","1","0","20250104",""
"20250101","일산선","삼송","9299","9393","20250104",""
"20250101","일산선","원당","4894","4784","20250104",""
"20250101","일산선","화정","8467","8875","20250104",""
"20250101","일산선","대곡","5089","4988","20250104",""
"20250101","일산선","백석","4673","4623","20250104",""
"20250101","일산선","마두","2963","3033","20250104",""
"20250101","일산선","정발산","3528","3409","20250104",""
"20250101","일산선","주엽","3928","3888","20250104",""
"20250101","일산선","대화","4596","4022","20250104",""
"20250101","장항선","봉명","539","564","20250104",""
"20250101","장항선","쌍용(나사렛대)","1297","1360","20250104",""
"20250101","장항선","아산","2854","2025","20250104",""
"20250101","장항선","탕정","971","1055","20250104",""
"20250101","장항선","배방","788","910","20250104",""
"20250101","장항선","온양온천","3871","3963","20250104",""
"20250101","장항선","신창(순천향대)","665","725","20250104",""
"20250101","중앙선","회기","11806","12309","20250104",""
"20250101","중앙선","중랑","2876","2880","20250104",""
"20250101","중앙선","상봉","2780","2909","20250104",""
"20250101","중앙선","망우","3601","3559","20250104",""
"20250101","중앙선","양원","1146","1207","20250104",""
"20250101","중앙선","구리","3676","4149","20250104",""
"20250101","중앙선","도농","3846","3788","20250104",""
"20250101","중앙선","양정","265","188","20250104",""
"20250101","중앙선","덕소","2642","2778","20250104",""
"20250101","중앙선","도심","998","864","20250104",""
"20250101","중앙선","팔당","763","764","20250104",""
"20250101","중앙선","운길산","722","683","20250104",""
"20250101","중앙선","양수","1373","1370","20250104",""
"20250101","중앙선","신원","177","171","20250104",""
"20250101","중앙선","국수","382","381","20250104",""
"20250101","중앙선","아신","297","301","20250104",""
"20250101","중앙선","오빈","149","136","20250104",""
"20250101","중앙선","양평","1808","1707","20250104",""
"20250101","중앙선","원덕","196","174","20250104",""
"20250101","중앙선","용문","1312","1213","20250104",""
"20250101","중앙선","지평","21","25","20250104",""
"20250101","경원선","창동","1","0","20250104",""
"20250101","경원선","방학","5011","4858","20250104",""
"20250101","경원선","도봉","2864","2864","20250104",""
"20250101","경원선","도봉산","6363","4373","20250104",""
"20250101","경원선","망월사","3625","3800","20250104",""
"20250101","경원선","회룡","5932","5961","20250104",""
"20250101","경원선","의정부","10815","10664","20250104",""
"20250101","경원선","가능","3151","3071","20250104",""
"20250101","경원선","녹양","2050","2033","20250104",""
"20250101","경원선","양주","3667","3692","20250104",""
"20250101","경원선","덕계","2714","2616","20250104",""
"20250101","2호선","잠실(송파구청)","43785","40217","20250104",""
"20250101","2호선","잠실새내","9742","9986","20250104",""
"20250101","2호선","종합운동장","2508","2755","20250104",""
"20250101","2호선","삼성(무역센터)","18577","17094","20250104",""
"20250101","2호선","선릉","11910","10268","20250104",""
"20250101","2호선","역삼","9308","9841","20250104",""
"20250101","2호선","강남","25622","24327","20250104",""
"20250101","2호선","교대(법원.검찰청)","7029","8580","20250104",""
"20250101","2호선","상왕십리","5801","6001","20250104",""
"20250101","2호선","서초","5098","4833","20250104",""
"20250101","2호선","방배","4629","4748","20250104",""
"20250101","2호선","사당","21817","18384","20250104",""
"20250101","2호선","낙성대(강감찬)","11787","12975","20250104",""
"20250101","2호선","서울대입구(관악구청)","20112","21618","20250104",""
"20250101","2호선","봉천","10600","10734","20250104",""
"20250101","2호선","신림","29057","29685","20250104",""
"20250101","2호선","신대방","12529","12853","20250104",""
"20250101","2호선","구로디지털단지","20831","21301","20250104",""
"20250101","2호선","대림(구로구청)","13060","13962","20250104",""
"20250101","2호선","신도림","20774","21665","20250104",""
"20250101","2호선","문래","6908","7295","20250104",""
"20250101","2호선","영등포구청","6635","6868","20250104",""
"20250101","2호선","당산","7037","7574","20250104",""
"20250101","2호선","합정","17463","16438","20250104",""
"20250101","2호선","홍대입구","59507","54847","20250104",""
"20250101","2호선","신촌","18329","17344","20250104",""
"20250101","2호선","이대","6410","7268","20250104",""
"20250101","2호선","아현","4451","4403","20250104",""
"20250101","2호선","충정로(경기대입구)","3159","3341","20250104",""
"20250101","2호선","용답","1564","1601","20250104",""
"20250101","2호선","신답","597","674","20250104",""
"20250101","2호선","신설동","1988","1845","20250104",""
"20250101","2호선","도림천","937","1079","20250104",""
"20250101","2호선","양천구청","2481","2749","20250104",""
"20250101","2호선","신정네거리","4052","4280","20250104",""
"20250101","2호선","용두(동대문구청)","1028","1114","20250104",""
"20250101","3호선","지축","3435","3234","20250104",""
"20250101","3호선","구파발","10791","10987","20250104",""
"20250101","3호선","연신내","18052","17803","20250104",""
"20250101","2호선","신당","7445","8141","20250104",""
"20250101","2호선","동대문역사문화공원(DDP)","9817","10913","20250104",""
"20250101","2호선","을지로4가","4908","4815","20250104",""
"20250101","2호선","을지로3가","9733","9397","20250104",""
"20250101","2호선","을지로입구","21764","20120","20250104",""
"20250101","2호선","시청","8910","6937","20250104",""
"20250101","1호선","동묘앞","8327","8754","20250104",""
"20250101","1호선","청량리(서울시립대입구)","12487","12534","20250104",""
"20250101","1호선","제기동","8859","9247","20250104",""
"20250101","1호선","신설동","6341","6152","20250104",""
"20250101","1호선","동대문","8630","8397","20250104",""
"20250101","1호선","종로5가","10819","10530","20250104",""
"20250101","1호선","종로3가","13863","11687","20250104",""
"20250101","1호선","종각","15486","13000","20250104",""
"20250101","1호선","시청","11904","11425","20250104",""
"20250101","1호선","서울역","41901","35522","20250104",""
"20250101","3호선","불광","7816","9045","20250104",""
"20250101","3호선","녹번","5795","5441","20250104",""
"20250101","3호선","홍제","7906","7608","20250104",""
"20250101","3호선","무악재","1902","2254","20250104",""
"20250101","3호선","독립문","3884","4395","20250104",""
"20250101","3호선","경복궁(정부서울청사)","13905","14973","20250104",""
"20250101","3호선","안국","13365","13351","20250104",""
"20250101","3호선","종로3가","4779","5366","20250104",""
"20250101","3호선","을지로3가","4517","3760","20250104",""
"20250101","3호선","충무로","2","0","20250104",""
"20250101","3호선","동대입구","5070","6527","20250104",""
"20250101","3호선","약수","5417","5395","20250104",""
"20250101","3호선","금호","3460","3363","20250104",""
"20250101","3호선","옥수","4365","4532","20250104",""
